SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,SHFW,ZGFW,GGSS,SHZA
0.0083200970,0.8552569020,0.0703624510,0.2790130130,0.1622418880,0.0983284170,0.0000000000,0.0422956790,0.0208803780,0.0000000000,0.0000000000,0.0000527000,0.0000000000,0.0000000000,0.0000000000,0.0005371410,0.0103312060,0.0000000000,0.0000000000,0.0000000000
0.0096825020,0.0024917930,0.0655073690,0.4291057130,0.1541938440,0.1373154820,0.0709510330,0.1181317020,0.0485990270,0.0028089890,0.0052083330,0.0016605600,0.0125000000,0.0030590390,0.0073147260,0.0232089700,0.1062156050,0.0571428570,0.0166326230,0.0031458670
0.0225495540,0.0004811570,0.2800792200,0.4819207740,0.3741134750,0.2063185040,0.3140301060,0.3438957790,0.0109531110,0.0000000000,0.0041666670,0.0000527000,0.0687500000,0.0000000000,0.0173243500,0.1139186680,0.0127620780,0.0057142860,0.0140064200,0.0023148840
0.0000000000,0.1666680460,0.0250928770,0.3188571980,0.2459016390,0.2384500750,0.0000000000,0.0000000000,0.0421964130,0.0084269660,0.0041666670,0.0024249450,0.0125000000,0.0036708470,0.0000000000,0.0150399500,0.0844728050,0.0000000000,0.0023344030,0.0002374240
0.1424501420,0.8877498640,0.2763701610,0.2093385530,0.2083333330,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000527000,0.0000000000,0.0012236160,0.0003849860,0.0000448000,0.0076302370,0.0000000000,0.0000000000,0.0000594000
0.0023085840,0.1270744920,0.0000000000,0.3037579840,0.1012891340,0.2455494170,0.0006556880,0.0117358180,0.0000000000,0.0000000000,0.0000000000,0.0000527000,0.0125000000,0.0000000000,0.0000000000,0.0084152100,0.0031061140,0.0000000000,0.0023344030,0.0002374240
0.0351465770,0.4804131840,0.0209810850,0.3155724000,0.1199376950,0.1495327100,0.0319436430,0.0357339200,0.0000000000,0.0252808990,0.0145833330,0.0010543240,0.0000000000,0.0201896600,0.0015399420,0.0000000000,0.0606367530,0.0000000000,0.0338488470,0.0037987830
0.0067335430,0.1352780170,0.0954667530,0.3440318120,0.0246195170,0.0000000000,0.0162560110,0.0000000000,0.0000000000,0.0000000000,0.0031250000,0.0008434590,0.0000000000,0.0012236160,0.0023099130,0.0194713640,0.0014180090,0.0000000000,0.0000000000,0.0055497850
0.0109428240,0.7464699800,0.0000000000,0.2893556140,0.1333656640,0.1034594250,0.0103599960,0.0185428200,0.0000000000,0.0000000000,0.0000000000,0.0000527000,0.0000000000,0.0000000000,0.0000000000,0.0003133320,0.1743475470,0.0000000000,0.0029180040,0.0002967800
0.0000000000,0.7758333360,0.0703954870,0.3103315930,0.1045229950,0.0912200680,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010416670,0.0008961750,0.0062500000,0.0000000000,0.0000000000,0.0034914170,0.0746817920,0.0000000000,0.0005836010,0.0088440420
0.0000000000,0.0001260850,0.0000000000,0.3062552540,0.0000000000,0.0000000000,0.1123819320,0.0000000000,0.0043049710,0.0070224720,0.0000000000,0.0000527000,0.0000000000,0.0000000000,0.0003849860,0.0092656830,0.0614132820,0.0000000000,0.0043770060,0.0029677990
0.0047663930,0.4675521080,0.0071133590,0.2738713730,0.1742712290,0.2027883400,0.0006768790,0.0000000000,0.0538285040,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0036463080,0.0000000000,0.0000000000,0.0000000000
0.0111592990,0.6191416110,0.0000000000,0.3628505130,0.1632047480,0.3165182990,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0032156880,0.0000000000,0.0030590390,0.0015399420,0.0000000000,0.0801512540,0.0000000000,0.0000000000,0.0001187120
0.0000000000,0.0003997290,0.0018689440,0.3820121880,0.1709401710,0.0710400710,0.0060466080,0.0000000000,0.0000000000,0.0014044940,0.0010416670,0.0000000000,0.0000000000,0.0012236160,0.0011549570,0.0017009470,0.0255916810,0.0000000000,0.0023344030,0.0016619680
0.0000000000,0.6490422580,0.1984887380,0.3745971330,0.2012195120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0645773480,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0004726700,0.0000000000,0.0000000000,0.0000000000
