code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
2634,0.002475248,0.23019802,0.002475248,0.272277228,0.027227723,0.014851485,0.0322000000,0,0.00000000,0,2,0,2,4,0,18,0,514,52,6,1
2635,0.002364066,0.020094563,0.010047281,0.219858156,0.014775414,0.004728132,0.0000000000,0,0.00000000,12,14,0,6,32,8,26,0,741,24,58,1
2636,0.00750268,0.404072883,0.004287245,0.255091104,0.026795284,0.00750268,0.0053600000,0,0.00000000,10,14,0,18,22,12,6,0,672,36,40,1
2637,0.00055571,0.000833565,0.001944985,0.258682967,0.014170603,0.005279244,0.3040000000,0.005279244,0.00000000,0,0,0,0,0,0,1659,0,210,0,140,2
2638,0.011697302,0.182621151,0.004535689,0.188111721,0.018142755,0.001909764,0.2020000000,0,0.00023872,2,2,82,8,4,8,74,0,4424,12,12,1
2639,0.00135318,0.01623816,0.00541272,0.294316644,0.031123139,0.01014885,0.0006770000,0.00270636,0.00000000,8,0,0,0,32,0,36,0,3486,40,0,1
2640,0.014285714,0.166276347,0.000234192,0.114051522,0.005386417,0.000936768,0.0042200000,0.001405152,0.00070258,4,8,28,20,6,10,756,4,1808,404,8,1
2641,0,0.342465753,0.04109589,0.315068493,0.02739726,0,0.0000000000,0,0.02739726,2,6,468,0,94,0,134,0,2818,4,250,3
2642,0.019633508,0.467931937,0.003272251,0.22382199,0.020942408,0.006544503,0.1990000000,0.001963351,0.00000000,2,0,18,0,0,44,0,0,364,6,6,1
2643,0,0.003392706,0.01187447,0.210347752,0.028837998,0.013570823,0.0000000000,0.000848176,0.00084818,80,40,4,8,32,4,272,0,2956,204,14,1
2644,0.002171553,0.08577633,0.003257329,0.229641694,0.02062975,0.009229099,0.0000000000,0.002171553,0.00054289,0,0,4180,4,0,0,0,0,40,0,8,1
2645,0,0.007741027,0.007037298,0.283603096,0.023926812,0.007741027,0.0000000000,0.002111189,0.00211119,0,0,4,0,0,0,0,0,314,0,0,1
2646,0.015013405,0.093297587,0.002144772,0.182573727,0.023324397,0.005093834,0.3320000000,0.001608579,0.00000000,0,1,4,2,0,0,663,0,5404,26,10,2
2647,0.000757959,0.020464881,0.028802425,0.321121779,0.032339565,0.008337544,0.1380000000,0.018443658,0.00581102,0,8,30,14,2,2,4424,0,354,16,16,3
